Index	"lymphoma, blood"	"renal cell carcinoma, kidney"	"hepatocellular carcinoma, liver"	"lung adenocarcinoma, lung"	"ovarian adenocarcinoma, ovary"	"pancreatic adenocarcinoma, pancreas"	"prostate adenocarcinoma, prostate gland"	"gastric adenocarcinoma, stomach"	"follicular thyroid carcinoma, thyroid gland"	"bladder transitional cell carcinoma, urinary bladder"	"endometrial adenocarcinoma, uterus"	variance
ENSG00000124107/SLPI	-8.491853096	-1.378511623	1.012600037	-1.806903868	10.4325419	4.48112669	-8.119229352	-2.69632361	1.95419631	0.886343218	0.27237227	28.40069405
ENSG00000125144/MT1G	-1.807354922	-8.437405312	-5.598560104	1	6.129283017	-5.247927513	4.129283017	-4.22881869	-2.105116706	0.847996907	6.781359714	25.13545168
ENSG00000259001/AL355075.4	-2.584962501	-0.584962501	0.321928095	0	2.584962501	15.68688347	-1	0.700439718	-0.222392421	1.736965594	-0.893084796	24.2703873
ENSG00000137077/CCL21	9.67507492	-3.544320516	-0.678071905	-1.608809243	-6.906890596	0.415037499	-0.874469118	-2.502500341	-7.664320292	-2.169925001	-5.333900737	21.51912347
ENSG00000188536/HBA2	-16.54097054	0.263034406	-1.807354922	-3.624490865	-2.807354922	-2	-5.64385619	-5.14974712	-1.874469118	-2.700439718	0.415037499	21.49623636
ENSG00000163220/S100A9	-11.12815547	0.251538767	0.115477217	0.349449158	1.335603032	0.610053482	-0.125530882	-8.066460397	0.222392421	2.95419631	3.906890596	20.69808245
ENSG00000269900/RMRP	-1	1.321928095	1	0.584962501	1.584962501	14.87952855	-0.584962501	-1.554588852	1	1.584962501	-1.099535674	20.69456908
ENSG00000244734/HBB	-16.42624018	-0.118644496	-2	-3.745954377	-2.321928095	-0.678071905	-5.321928095	-5.087462841	-2.338801913	-1.652076697	-1	20.65990866
ENSG00000252010/SCARNA5	1	1	-1	0	0	14.46913302	0	-0.678071905	0	0	-1	19.65252858
ENSG00000143546/S100A8	-10.60084211	0.222392421	-1.584962501	-1.857980995	0.485426827	-0.736965594	0	-9.73470962	-1	0.754887502	3.321928095	18.74701612
ENSG00000202198/7SK	-2.807354922	0.678071905	0.263034406	0	-0.169925001	13.40059782	-1.485426827	-0.721283972	-0.192645078	1.459431619	-0.96829114	18.57174101
ENSG00000263934/SNORD3A	1	-1	-0.584962501	1.736965594	2	13.68266546	-1	2.115477217	-2.321928095	2.736965594	2.222392421	18.13395063
ENSG00000172724/CCL19	10.83762793	-2.584962501	-1.874469118	1	1	2	4.584962501	-2.169925001	-4.459431619	-1.736965594	-0.152003093	17.85309962
ENSG00000172005/MAL	0.362570079	-2.91753784	0	-2	4.807354922	-2.169925001	-3.152003093	-12.29251337	0	0.321928095	0.169925001	17.57631779
ENSG00000103569/AQP9	-10.6794801	1.169925001	-0.761840263	-2.459431619	3.321928095	3.321928095	-3.321928095	1.321928095	-1	0.584962501	-5.544320516	17.10477032
ENSG00000127324/TSPAN8	0	-5.544320516	1.64385619	0.514573173	-4.321928095	4.352516415	6.95419631	0.863678529	-4.321928095	-4.906890596	-0.321928095	16.09434697
ENSG00000196533/ENSG00000196533	4.906890596	2.321928095	0.807354922	-0.584962501	8.64385619	0.222392421	-6.321928095	-0.485426827	0.584962501	-2.736965594	4.426264755	16.02313692
ENSG00000163017/ACTG2	5.799975392	4.321928095	3	-1.807354922	-3.129283017	0	-0.723714571	-4.196397213	0	-7.007027267	-4.087462841	15.27444254
ENSG00000166825/ANPEP	-6.339850003	-1.10342959	0.38827059	-1.807354922	3	-5.254241287	3.977279923	-6.73809226	0	-1.584962501	4.321928095	15.25647065
ENSG00000206172/HBA1	-14.23818079	0	-1.514573173	-2.807354922	-2.584962501	-2.321928095	-2.099535674	-5.285402219	-1	-2.321928095	-1	15.22364227
ENSG00000133392/MYH11	3.169925001	0	0.736965594	-2.662965013	-6.691161905	1.584962501	-0.717736123	-4.790076931	-2.807354922	-9.041659152	-6.321928095	14.90709798
ENSG00000143196/DPT	5.906890596	-3.321928095	-3.491853096	-2.5360529	-4.321928095	-2.222392421	-1.115477217	-3.95419631	-7	-8.26052755	-7.196397213	14.61382195
ENSG00000170835/CEL	-2	-4.906890596	1	-0.584962501	-2.321928095	-12.16522107	-3	-1.321928095	1	1.169925001	-3.700439718	14.41653241
ENSG00000106483/SFRP4	5.64385619	1.736965594	2.807354922	0.736965594	-2.700439718	5.106199404	1.321928095	3.807354922	-3.321928095	-4.129283017	-5.087462841	14.36844142
ENSG00000202538/RNU4-2	-0.736965594	1	1	1.321928095	1.321928095	11.26778992	-2.152003093	-2.169925001	-1.321928095	0	-1.169925001	13.9102139
ENSG00000265150/ENSG00000265150	-3.265344567	0.345135486	0.941106311	-0.152003093	-0.169925001	11.52668262	1.813231488	0.686583405	-0.389946518	-0.029747343	0	13.68757695
ENSG00000212232/SNORD17	4.321928095	0	0.263034406	0.736965594	1	12.07514484	0	-0.415037499	0.514573173	1	-0.584962501	13.53660447
ENSG00000143320/CRABP2	1.321928095	-1.906890596	0.415037499	5.87036472	6.549463819	3.959358016	-2.070389328	-6.124121312	2.295455884	1.024384159	0	13.50196511
ENSG00000018280/SLC11A1	-10.75655632	1.736965594	0	-2.321928095	0	1	1	2.169925001	0	1	2	13.42384603
ENSG00000112936/C7	4.169925001	-5.058893689	-2.925999419	-2.624490865	-6.885696373	-1.211504105	-0.64385619	-4.215012891	-3.857980995	-9.103287808	-7.321928095	13.37286568
ENSG00000130176/CNN1	5.321928095	0	1	-2.321928095	-4	1.321928095	-0.382573104	-4.115477217	-0.584962501	-7.640244936	-5.459431619	13.22220794
ENSG00000258486/ENSG00000258486	-2.647698256	0	0.633872101	0.959028219	0.836501268	11.76175182	0.668794092	0.863365308	0.054447784	0.462343214	0.683972507	13.07189709
ENSG00000187116/LILRA5	-10.78545247	1	-1	-2.321928095	0.415037499	1.736965594	1.584962501	1	-0.415037499	-1.222392421	2	13.02556479
ENSG00000263740/RN7SL4P	-1.584962501	0	1	0.485426827	0	11.51668495	1	0.321928095	-1	-1.222392421	0	12.99250528
